crawled_count,saved_count,category,virtual_web_count,target_len,timestamp
1390,4,Agriculture,126,10.025311526479753,1703554486755534577
1390,5,technology,126,10.025311526479753,1703554486755534577
1390,2,transport,126,10.025311526479753,1703554486755534577
1390,33,climate_environment,126,10.025311526479753,1703554486755534577
1390,43,finance,126,10.025311526479753,1703554486755534577
1400,8,health,126,10.534336419753087,1703554495755789903
1400,12,education,126,10.534336419753087,1703554495755789903
1400,4,Agriculture,126,10.534336419753087,1703554495755789903
1400,5,technology,126,10.534336419753087,1703554495755789903
1400,2,transport,126,10.534336419753087,1703554495755789903
1400,34,climate_environment,126,10.534336419753087,1703554495755789903
1400,43,finance,126,10.534336419753087,1703554495755789903
1410,8,health,126,10.529434250764528,1703554510029469988
1410,12,education,126,10.529434250764528,1703554510029469988
1410,4,Agriculture,126,10.529434250764528,1703554510029469988
1410,5,technology,126,10.529434250764528,1703554510029469988
1410,2,transport,126,10.529434250764528,1703554510029469988
1410,35,climate_environment,126,10.529434250764528,1703554510029469988
1410,43,finance,126,10.529434250764528,1703554510029469988
1420,8,health,126,10.529434250764528,1703554518493296490
1420,12,education,126,10.529434250764528,1703554518493296490
1420,4,Agriculture,126,10.529434250764528,1703554518493296490
1420,5,technology,126,10.529434250764528,1703554518493296490
1420,2,transport,126,10.529434250764528,1703554518493296490
1420,35,climate_environment,126,10.529434250764528,1703554518493296490
1420,43,finance,126,10.529434250764528,1703554518493296490
1430,8,health,126,10.528903903903906,1703554527582498853
1430,12,education,126,10.528903903903906,1703554527582498853
1430,4,Agriculture,126,10.528903903903906,1703554527582498853
1430,5,technology,126,10.528903903903906,1703554527582498853
1430,2,transport,126,10.528903903903906,1703554527582498853
1430,36,climate_environment,126,10.528903903903906,1703554527582498853
1430,44,finance,126,10.528903903903906,1703554527582498853
1440,8,health,126,10.528903903903906,1703554541426410058
1440,12,education,126,10.528903903903906,1703554541426410058
1440,4,Agriculture,126,10.528903903903906,1703554541426410058
1440,5,technology,126,10.528903903903906,1703554541426410058
1440,2,transport,126,10.528903903903906,1703554541426410058
1440,36,climate_environment,126,10.528903903903906,1703554541426410058
1440,44,finance,126,10.528903903903906,1703554541426410058
1450,8,health,126,10.568824404761907,1703554550253621456
1450,12,education,126,10.568824404761907,1703554550253621456
1450,5,Agriculture,126,10.568824404761907,1703554550253621456
1450,5,technology,126,10.568824404761907,1703554550253621456
1450,2,transport,126,10.568824404761907,1703554550253621456
1450,36,climate_environment,126,10.568824404761907,1703554550253621456
1450,44,finance,126,10.568824404761907,1703554550253621456
1460,9,health,126,10.59033923303835,1703554559166453428
1460,12,education,126,10.59033923303835,1703554559166453428
1460,5,Agriculture,126,10.59033923303835,1703554559166453428
1460,5,technology,126,10.59033923303835,1703554559166453428
1460,2,transport,126,10.59033923303835,1703554559166453428
1460,36,climate_environment,126,10.59033923303835,1703554559166453428
1460,44,finance,126,10.59033923303835,1703554559166453428
